"   ","MANU_ID","STACKING_REC_NUM","PICK_NUM","ORDER_NUM","COMPANY_CODE","READY_NUM","TRNP_MODE_CODE","CARRY_COMPANY_CODE","CARRY_COMPANY_NAME","N_STACKING_REC","WEIGHT_STRC","PRODUCT_DSCR","SHOPSIGN","DOMESTIC_EXPORT","STOREHOUSE_CODE","LADE_CODE","DLV_SPOT_CODE","PRIVATE_ROUTE_CODE","DLV_SPOT_NAME","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_USER_NUM","SETTLE_USER_NAME","QLT_DECIDE_CODE","VEHICLE_CODE","N_GRASS_PACK","DELIVERY_DATE_CHR","T_DELIVERY","DEPT","USER_ID","OPERATOR_NAME","PRODUCT_CODE_FB1","PRODUCT_CODE_FB2","PRODUCT_CODE_FB3","EXPENSE_STATUS","WEIGHT_THEO","WEIGHT_TYPE","STACKING_TYPE","CODE_ALL_THR_READY","STIN_STHS_CODE","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","STACKING_PRINT_BATCH_ID","WS_FLAG","WS_DATE","SEG_NO","PROC_MARK_SEG","PRODUCT_ID","WPROVIDER_ID","INSERT_TIME","DOWNLOADFLAG","OPTFLAG","PRODUCT_ADRESS","SHOPSGIN","OWNER_NUM","DEPTID","TRANS_COMMISSION_SUBID","PAY_STYLE","GETFLAG","SETTLE_FLAG","SOURCE_SEG_NO","OPERATION_TYPE","R_JK_UPDATE_DATE"
"552","BGSA","BGSA150110000001I5J0000261","BGSAB1501100007","I5J0000261","DS","I855000034","BGSAT1501100007","","","17","415000","热轧卷","SS400","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","415000","0","","","","2015/1/10 0:03:02","2015/1/9 15:56:39","","*0*C","C","","0","","10000","","I5J0000261","001518002","2015/1/10 0:03:02","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 21:02:19"
"553","BGSA","BGSA150110000001I5J0000259","BGSAB1501100007","I5J0000259","DS","I855000032","BGSAT1501100007","","","17","415000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","415000","0","","","","2015/1/10 0:03:02","2015/1/9 15:56:39","","*0*C","C","","0","","10000","","I5J0000259","001518002","2015/1/10 0:03:02","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 21:01:54"
"554","BGSA","BGSA150110000001I5J0000257","BGSAB1501100007","I5J0000257","DS","I855000030","BGSAT1501100007","","","17","415000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","415000","0","","","","2015/1/10 0:03:02","2015/1/9 15:56:39","","*0*C","C","","0","","10000","","I5J0000257","001518002","2015/1/10 0:03:02","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 21:06:17"
"555","BGSA","BGSA150110000001I5J0000255","BGSAB1501100007","I5J0000255","DS","I855000028","BGSAT1501100007","","","17","415000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","415000","0","","","","2015/1/10 0:03:02","2015/1/9 15:56:39","","*0*C","C","","0","","10000","","I5J0000255","001518002","2015/1/10 0:03:02","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 21:05:15"
"556","BGSA","BGSA150110000001I5J0000253","BGSAB1501100007","I5J0000253","DS","I855000026","BGSAT1501100007","","","17","415000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","415000","0","","","","2015/1/10 0:03:02","2015/1/9 15:56:40","","*0*C","C","","0","","10000","","I5J0000253","001518002","2015/1/10 0:03:02","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 21:04:15"
"557","BGSA","BGSA150110000001I5J0000245","BGSAB1501100007","I5J0000245","DS","I855000025","BGSAT1501100007","","","17","415000","热轧卷","SS330","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","415000","0","","","","2015/1/10 0:03:03","2015/1/9 15:56:40","","*0*C","C","","0","","10000","","I5J0000245","001518002","2015/1/10 0:03:03","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 21:03:47"
"558","BGSA","BGSA150110000001I5J0000264","BGSAB1501100007","I5J0000264","DS","I855000037","BGSAT1501100007","","","17","415000","热轧卷","SS400","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","415000","0","","","","2015/1/10 0:03:03","2015/1/9 15:56:40","","*0*C","C","","0","","10000","","I5J0000264","001518002","2015/1/10 0:03:03","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 21:01:25"
"559","BGSA","BGSA150110000002I5J0000251","BGSAB1501100008","I5J0000251","DS","I865000047","BGSAT1501100008","","","15","196000","热轧卷","SS330-P","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","196000","0","","","","2015/1/10 0:03:03","2015/1/9 15:56:40","","*0*C","C","","0","","10000","","I5J0000251","001518002","2015/1/10 0:03:03","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 20:14:39"
"560","BGSA","BGSA150110000002I5J0000249","BGSAB1501100008","I5J0000249","DS","I865000045","BGSAT1501100008","","","15","196000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","196000","0","","","","2015/1/10 0:03:03","2015/1/9 15:56:40","","*0*C","C","","0","","10000","","I5J0000249","001518002","2015/1/10 0:03:03","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 20:15:06"
"561","BGSA","BGSA150110000002I5J0000247","BGSAB1501100008","I5J0000247","DS","I865000043","BGSAT1501100008","","","15","196000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","196000","0","","","","2015/1/10 0:03:04","2015/1/9 15:56:41","","*0*C","C","","0","","10000","","I5J0000247","001518002","2015/1/10 0:03:04","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 20:12:45"
