"RK1501070110","0101","BGSA150106002079I5J0000042","","20","","2015/1/7 10:50:36","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/7 10:50:55","","PZ001001004","热卷","SS330-P","宝钢","","I5J0000042","GZ002967","鑫益","061","","I5J0000042","1.0000","6.4200","6.4200","I5J0000042","2015/1/7 10:50:36","3.52*1037*C","2015/1/7 10:50:56","100003","2015/1/7 10:58:37","100003","0","室内库","0","","","2015/1/7 10:50:36","2015/1/7 10:50:36","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501070122","0101","BGSA150106002079I5J0000054","","20","","2015/1/7 11:00:57","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/7 11:01:25","","PZ001001004","热卷","Q345B","宝钢","","I5J0000054","GZ000887","鑫益","061","","I5J0000054","1.0000","4.3600","4.3600","I5J0000054","2015/1/7 11:00:57","1.50*1140*C","2015/1/7 11:01:26","100003","2015/1/7 11:09:07","100003","0","室内库","0","","","2015/1/7 11:00:57","2015/1/7 11:00:57","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501070124","0101","BGSA150106002079I5J0000056","","20","","2015/1/7 11:02:15","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/7 11:02:54","","PZ001001004","热卷","Q460C","宝钢","","I5J0000056","GZ003059","鑫益","061","","I5J0000056","1.0000","3.0800","3.0800","I5J0000056","2015/1/7 11:02:15","2.10*1095*C","2015/1/7 11:02:55","100003","2015/1/7 11:10:36","100003","0","室内库","0","","","2015/1/7 11:02:15","2015/1/7 11:02:15","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501070129","0101","BGSA150106002081I5J0000098","","20","","2015/1/7 11:07:18","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/7 11:07:38","","PZ001001004","热卷","SS330-P","宝钢","","I5J0000098","GZ002967","鑫益","061","","I5J0000098","1.0000","28.6200","28.6200","I5J0000098","2015/1/7 11:07:18","3.82*1405*C","2015/1/7 11:07:39","100003","2015/1/7 11:15:22","100003","0","室内库","0","","","2015/1/7 11:07:18","2015/1/7 11:07:18","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501100026","0101","BGSA150109002017I5J0000269","","20","","2015/1/10 8:32:46","宝山钢铁股份有限公司","KH06759","1818","肖萍","2015/1/10 8:33:07","","PZ001001004","热卷","SPHC","宝钢","","I5J0000269","GZ000005","鑫益","061","","I5J0000269","1.0000","24.2600","24.2600","I5J0000269","2015/1/10 8:32:46","3.52*1079*C","2015/1/10 8:32:58","1818","2015/1/10 8:40:43","1818","0","室内库","0","","","2015/1/10 8:32:46","2015/1/10 8:32:46","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501100044","0101","BGSA150109002014I5J0000317","","20","","2015/1/10 13:53:42","宝山钢铁股份有限公司","KH06759","1818","肖萍","2015/1/10 13:54:02","","PZ001001004","热卷","SS400","宝钢","","I5J0000317","GZ000180","鑫益","061","","I5J0000317","1.0000","4.9000","4.9000","I5J0000317","2015/1/10 13:53:42","4.00*1250*C","2015/1/10 13:53:50","1818","2015/1/10 14:01:35","1818","0","室内库","0","","","2015/1/10 13:53:42","2015/1/10 13:53:42","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501100045","0101","BGSA150109002014I5J0000318","","20","","2015/1/10 13:54:12","宝山钢铁股份有限公司","KH06759","1818","肖萍","2015/1/10 13:54:32","","PZ001001004","热卷","SPHC","宝钢","","I5J0000318","GZ000005","鑫益","061","","I5J0000318","1.0000","8.2900","8.2900","I5J0000318","2015/1/10 13:54:12","2.32*1224*C","2015/1/10 13:54:20","1818","2015/1/10 14:02:04","1818","0","室内库","0","","","2015/1/10 13:54:12","2015/1/10 13:54:12","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501100048","0101","BGSA150109002014I5J0000278","","20","","2015/1/10 13:55:40","宝山钢铁股份有限公司","KH06759","1818","肖萍","2015/1/10 13:55:58","","PZ001001004","热卷","SS330-P","宝钢","","I5J0000278","GZ002967","鑫益","061","","I5J0000278","1.0000","7.0800","7.0800","I5J0000278","2015/1/10 13:55:40","4.02*1636*C","2015/1/10 13:55:46","1818","2015/1/10 14:03:31","1818","0","室内库","0","","","2015/1/10 13:55:40","2015/1/10 13:55:40","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501100051","0101","BGSA150109002014I5J0000297","","20","","2015/1/10 13:57:15","宝山钢铁股份有限公司","KH06759","1818","肖萍","2015/1/10 13:57:32","","PZ001001004","热卷","IF-1","宝钢","","I5J0000297","GZ002594","鑫益","061","","I5J0000297","1.0000","9.0600","9.0600","I5J0000297","2015/1/10 13:57:15","3.02*1370*C","2015/1/10 13:57:20","1818","2015/1/10 14:05:04","1818","0","室内库","0","","","2015/1/10 13:57:15","2015/1/10 13:57:15","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501100055","0101","BGSA150109002014I5J0000279","","20","","2015/1/10 13:59:12","宝山钢铁股份有限公司","KH06759","1818","肖萍","2015/1/10 13:59:29","","PZ001001004","热卷","SS330-P","宝钢","","I5J0000279","GZ002967","鑫益","061","","I5J0000279","1.0000","5.3500","5.3500","I5J0000279","2015/1/10 13:59:12","4.02*1636*C","2015/1/10 13:59:17","1818","2015/1/10 14:07:02","1818","0","室内库","0","","","2015/1/10 13:59:12","2015/1/10 13:59:12","","","","","","","","","","1","","0","0.0000","0","","","","","0"
