"   ","MANU_ID","STACKING_REC_NUM","PICK_NUM","ORDER_NUM","COMPANY_CODE","READY_NUM","TRNP_MODE_CODE","CARRY_COMPANY_CODE","CARRY_COMPANY_NAME","N_STACKING_REC","WEIGHT_STRC","PRODUCT_DSCR","SHOPSIGN","DOMESTIC_EXPORT","STOREHOUSE_CODE","LADE_CODE","DLV_SPOT_CODE","PRIVATE_ROUTE_CODE","DLV_SPOT_NAME","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_USER_NUM","SETTLE_USER_NAME","QLT_DECIDE_CODE","VEHICLE_CODE","N_GRASS_PACK","DELIVERY_DATE_CHR","T_DELIVERY","DEPT","USER_ID","OPERATOR_NAME","PRODUCT_CODE_FB1","PRODUCT_CODE_FB2","PRODUCT_CODE_FB3","EXPENSE_STATUS","WEIGHT_THEO","WEIGHT_TYPE","STACKING_TYPE","CODE_ALL_THR_READY","STIN_STHS_CODE","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","STACKING_PRINT_BATCH_ID","WS_FLAG","WS_DATE","SEG_NO","PROC_MARK_SEG","PRODUCT_ID","WPROVIDER_ID","INSERT_TIME","DOWNLOADFLAG","OPTFLAG","PRODUCT_ADRESS","SHOPSGIN","OWNER_NUM","DEPTID","TRANS_COMMISSION_SUBID","PAY_STYLE"
"140","BGSA","H61927252","1H61C310400","I2E0001106","DS","H611016156","11","","","1","23550","直发卷","QStE340TM","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-65787","1","20111231","2033","","","","","","","","0","0","CC","","","2011/12/31 21:24:34","2011/12/31 21:15:20","1","3.5*1130*C","C","","0","","00100","","TI15111201454","","2011/12/31 21:24:34","0","1","宝钢分公司热轧","","GM0","0101","","10"
"141","BGSA","H61927253","1H61C310400","I2E0001107","DS","H611016157","11","","","1","18830","直发卷","QStE340TM","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-65787","1","20111231","2033","","","","","","","","0","0","CC","BGSAI11123100","","2011/12/31 21:24:34","2011/12/31 21:15:20","1","4*900*C","C","","0","","00100","","TI15111201455","","2011/12/31 21:24:34","0","1","宝钢分公司热轧","","GM0","0101","",""
"142","BGSA","H61927256","1H61C310400","I2E0001110","DS","H611016158","11","","","1","17110","直发卷","QStE380TM","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-61513","1","20111231","2034","","","","","","","","0","0","CC","","","2011/12/31 21:24:34","2011/12/31 21:15:20","1","4.5*930*C","C","","0","","00100","","TI15111201458","","2011/12/31 21:24:34","0","1","宝钢分公司热轧","","GM0","0101","",""
"143","BGSA","H61927254","1H61C310400","I2E0000081","DS","H611016152","11","","","1","20840","直发卷","40MnB","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-61513","1","20111231","2034","","","","","","","","0","0","CC","","","2011/12/31 21:24:34","2011/12/31 21:15:20","1","3*1200*C","C","","0","","00100","","TI15111200805","","2011/12/31 21:24:34","0","1","宝钢分公司热轧","","GM0","0101","",""
"144","BGSA","H61927279","1H61C310400","I2E0002481","DS","H611016149","11","","","2","9040","直发卷","IF-1","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-C3350","1","20111231","2049","","","","","","","","0","0","CC","","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","4.02*1323*C","C","","0","","00100","","TI15111202404","","2011/12/31 21:24:35","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"145","BGSA","H61927280","1H61C310400","I2E0002477","DS","H611016148","11","","","2","12680","直发卷","IF-1","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-C3350","1","20111231","2049","","","","","","","","0","0","CC","","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","3.03*1351*C","C","","0","","00100","","TI15111202400","","2011/12/31 21:24:35","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"146","BGSA","H61927282","1H61C310400","I2E0002476","DS","H611016147","11","","","1","4480","直发卷","IF-1","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-C3350","1","20111231","2049","","","","","","","","0","0","CC","","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","2.83*1614*C","C","","0","","00100","","TI15111202399","","2011/12/31 21:24:35","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"147","BGSA","H61927281","1H61C310400","I2E0001151","DS","H611016159","11","","","1","28800","直发卷","S45C","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-C3350","1","20111231","2049","","","","","","","","0","0","CC","","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","4.5*1240*C","C","","0","","00100","","TI15111201430","","2011/12/31 21:24:35","0","1","宝钢分公司热轧","","GM0","0101","",""
"148","BGSA","I86031581","1I86C290600","I1E0037349","DS","I861005549","11","","","1","29740","直发卷","Q460C","","I86","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","","1","20111231","0833","","","","","","","","0","0","CC","","","2011/12/31 9:24:36","2011/12/31 9:15:29","1","7.8*1410*C","C","","0","","00100","","TI15111101414","","2011/12/31 9:24:36","0","1","宝钢分公司热轧","","GM0","0101","",""
"149","BGSA","I86031582","1I86C290600","I1E0037248","DS","I861005550","11","","","1","29100","直发卷","Q345B","","I86","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","","1","20111231","0833","","","","","","","","0","0","CC","","","2011/12/31 9:24:36","2011/12/31 9:15:29","1","12*1390*C","C","","0","","00100","","TI15111101338","","2011/12/31 9:24:36","0","1","宝钢分公司热轧","","GM0","0101","",""
"150","BGSA","H61927285","1H61C310400","I2E0000088","DS","H611016109","11","","","1","22530","直发卷","Q345B","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-E9598","1","20111231","2051","","","","","","","","0","0","CC","BGSAI11123100","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","5*1015*C","C","","0","","00100","","TI15111200818","","2011/12/31 21:24:35","0","1","宝钢分公司热轧","","GM0","0101","",""
"151","BGSA","H61927286","1H61C310400","I2E0001177","DS","H611016113","11","","","1","23790","直发卷","SS330-P","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-E9598","1","20111231","2051","","","","","","","","0","0","CC","","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","3.2*1080*C","C","","0","","00100","","TI15111201489","","2011/12/31 21:24:35","0","1","宝钢分公司热轧","","GM0","0101","",""
"152","BGSA","H61927289","1H61C310400","I2E0001109","DS","H611016112","11","","","1","24920","直发卷","QStE380TM","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  A-S9268","1","20111231","2053","","","","","","","","0","0","CC","BGSAI11123100","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","3.5*1230*C","C","","0","","00100","","TI15111201457","","2011/12/31 21:24:35","0","1","宝钢分公司热轧","","GM0","0101","",""
"153","BGSA","H61927290","1H61C310400","I2E0001106","DS","H611016111","11","","","1","22510","直发卷","QStE340TM","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  A-S9268","1","20111231","2053","","","","","","","","0","0","CC","","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","3.5*1130*C","C","","0","","00100","","TI15111201454","","2011/12/31 21:24:35","0","1","宝钢分公司热轧","","GM0","0101","","10"
"154","BGSA","H61927295","1H61C310400","I1E0038077","DS","H611016117","11","","","1","21700","直发卷","S235JR","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-95931","1","20111231","2055","","","","","","","","0","0","CC","","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","3*1326*C","C","","0","","00100","","TI15111101790","","2011/12/31 21:24:35","0","1","宝钢分公司热轧","","GM0","0101","","10"
"155","BGSA","H61927296","1H61C310400","I2E0001106","DS","H611016111","11","","","1","21460","直发卷","QStE340TM","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-95931","1","20111231","2055","","","","","","","","0","0","CC","","","2011/12/31 21:24:35","2011/12/31 21:15:20","1","3.5*1130*C","C","","0","","00100","","TI15111201454","","2011/12/31 21:24:35","0","1","宝钢分公司热轧","","GM0","0101","","10"
"156","BGNA","F012055264","3F01211271401","I2E0033776","MN","H112016783","23","","","2","35200","直发卷","HP295","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21127009&@梅盛1999","1","20121129","0029","01","","607017","","","","","0","0","","","","2012/11/29 1:36:07","2012/11/29 1:15:16","1","2.9*1155*C","C","","0","","00100","","TI15121002847","","2012/11/29 1:36:07","0","0","梅钢公司热轧厂","","GM0","0101","TC12120300086001","20"
"157","BGNA","F012053384","3F01211200101","I2E0033776","MN","H112016576","23","","","1","17310","直发卷","HP295","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21120001&@梅盛1688","1","20121120","2215","01","","607496","","","","","0","0","","","","2012/11/20 23:36:08","2012/11/20 23:17:01","1","2.9*1155*C","C","","0","","00100","","TI15121002847","","2012/11/20 23:36:08","0","0","梅钢公司热轧厂","","GM0","0101","TC12112700044005","20"
"158","BGNA","F012053391","3F01211200101","I2E0033776","MN","H122018647","23","","","5","90950","直发卷","HP295","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21120001&@梅盛1688","1","20121120","2215","01","","607496","","","","","0","0","","","","2012/11/20 23:36:10","2012/11/20 23:17:01","1","2.9*1155*C","C","","0","","00100","","TI15121002847","","2012/11/20 23:36:10","0","0","梅钢公司热轧厂","","GM0","0101","TC12112700044005","20"
"159","BGNA","F012053394","3F01211200101","I2E0033776","MN","H122018668","23","","","1","17290","直发卷","HP295","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21120001&@梅盛1688","1","20121120","2215","01","","607496","","","","","0","0","","","","2012/11/20 23:36:12","2012/11/20 23:17:01","1","2.9*1155*C","C","","0","","00100","","TI15121002847","","2012/11/20 23:36:12","0","0","梅钢公司热轧厂","","GM0","0101","TC12112700044005","20"
"160","BGNA","F012053400","3F01211200101","I2E0033776","MN","H122018797","23","","","1","18080","直发卷","HP295","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21120001&@梅盛1688","1","20121120","2215","01","","607496","","","","","0","0","","","","2012/11/20 23:36:12","2012/11/20 23:17:01","1","2.9*1155*C","C","","0","","00100","","TI15121002847","","2012/11/20 23:36:12","0","0","梅钢公司热轧厂","","GM0","0101","TC12112700044005","20"
"161","BGNA","F012053382","3F01211200101","I2E0033776","MN","H112016541","23","","","7","127600","直发卷","HP295","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21120001&@梅盛1688","1","20121120","2215","01","","607496","","","","","0","0","","","","2012/11/20 23:36:07","2012/11/20 23:17:01","1","2.9*1155*C","C","","0","","00100","","TI15121002847","","2012/11/20 23:36:07","0","0","梅钢公司热轧厂","","GM0","0101","TC12112700044005","20"
"162","BGNA","F012054672","3F01211260201","I2E0033801","MN","R122006275","23","","","1","19530","直发卷","Q235B","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21126002&@梅盛2088","1","20121126","2142","01","","607014","","","","","0","0","","","","2012/11/26 22:36:24","2012/11/26 22:16:43","1","2.5*1250*C","C","","0","","00100","","TI15121002855","","2012/11/26 22:36:24","0","0","梅钢公司热轧厂","","GM0","0101","TC12112900135018","20"
"163","BGNA","F012054671","3F01211260201","I2E0033800","MN","R122006267","23","","","1","19610","直发卷","Q235B","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21126002&@梅盛2088","1","20121126","2142","01","","607014","","","","","0","0","","","","2012/11/26 22:36:24","2012/11/26 22:16:43","1","2.5*1090*C","C","","0","","00100","","TI15121002854","","2012/11/26 22:36:24","0","0","梅钢公司热轧厂","","GM0","0101","TC12112900135012","20"
"164","BGNA","F012054675","3F01211260201","I2E0033801","MN","R132010377","23","","","2","38960","直发卷","Q235B","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","21126002&@梅盛2088","1","20121126","2142","01","","607014","","","","","0","0","","","","2012/11/26 22:36:26","2012/11/26 22:16:43","1","2.5*1250*C","C","","0","","00100","","TI15121002855","","2012/11/26 22:36:26","0","0","梅钢公司热轧厂","","GM0","0101","TC12112900135018","20"
