"   ","PROCESSID","PROCTYPE","PROCMATERIALDTLID","PROCARTICLEDTLID","GOODSID","PACKNUM","NETWEIGHT","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","DEPTID","R_RECORD_CHANGE_FLAG","SHEETNUM","GRADENUM"
"11","0114030609","加工                  ","539ae78c2c2144f1a53df216a536a1c2","34937119da0e449e9e0b89329277afbb","BB52BE797D2548339EEB3FE961D52EB4","87794704400-01","18.6900","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"12","0114030609","加工                  ","6bada90a76594f25b073122e12c58f9e","176de8fd68e044ac8f287bfe4d56605c","A3C305E6DC024A2CA64889D5715E860F","87448701200-01","18.4000","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"13","0114030609","加工                  ","46281a35c1554da5a4588c9deeab87a0","546fdd51fe47452fa3ac7da0588a71a2","CF300B20DDE540BDA740CEF1BF40E98A","87466701200-01","18.5200","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"14","0114030609","加工                  ","b54ead0c1a7043b3af86b21714812be6","03aa269cb0f94fbfbfb0946471f27caa","676202F6187441D8867E12BABB783939","87794704300-01","18.6500","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"15","0114030609","加工                  ","b2466d6e7cc740ea8b682a52a614c872","1156a38a5bef47e8a3b94b8e673a1ffe","23A1F5826A814DFDAC5BD65E1B46DD93","87751703500-01","19.4900","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"16","0114030609","加工                  ","b229f3d3cd7749a993fb7faf3b395bd9","7f5a422665584505b10efba80f7dd010","1C451360B4AB451CB19B71B5BC9AE16A","87798700300-01","18.6300","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"17","0114030609","加工                  ","838f7272d4f44046b0e9cef68b49b8cc","395bc0cf50ff431e8b8785403584118c","FCBBB5B132894783BAC008CDD869CF23","87751702700-01","19.4700","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"18","0114030609","加工                  ","ad6339c996d241a7a65876eb8c04fd2e","45cffccaf52c46fca55a26820727d9f3","8DDC6A55D34D40FA8D1B293C32A1C7C0","87466701100-01","18.2000","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"19","0114030609","加工                  ","77ff3a60358e44159bc8f3c1b571e575","18d9ee79956640dd8823cbfe48e7a68e","98CF8A929EBA41B9B7836BA4A8DA6C02","87759700100-01","19.6400","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"20","0114030609","加工                  ","d61578416b954a07901068170cf893a7","073e5ba3b50d4c4ab4385c9edaa82ae6","9BC4D4C71E824DBAADA2EC0AEB04291A","87751704000-01","19.5100","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"21","0114030609","加工                  ","65272e331f5b440b992ce02dd79a56ae","7412d93e09b64fc684ad226cc9021a67","62D5B6727A2E40489CD06BD33E0D6F57","87448701100-01","17.2300","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
"22","0114030609","加工                  ","d48b67364b7d4d528421a0d8b2506e2f","dafa36ffdb434731a355fa07a22978e3","9E263956525A4028A2947656E0119004","87751703600-01","19.4900","2014/3/31 11:30:19","100006","","","0","0101","0","1.0000","2.9*1155*0"
