"   ","OWNER_NUM","MANU_ID","CONTRACT_ITEM_NUM","RESOURCE_NUM","INPUT_STACKING_NUM","PICK_NUM","PACK_NUM","UNIT_WEIGHT","WEIGHT_THEO","N_PACK","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","WS_FLAG","WS_DATE","SEG_NO","DEPTID","EXTSYSID","EXTSYSSTACKID","GRADE_NUM","DOWNLOADFLAG","LENGTH_PRODUCT","LENGTH_PRODUCT_MAX","LENGTH_PRODUCT_MIN","HEAT_NUM","TEST_LOT_NUM","OPTFLAG","VEHICLE_CODE","PRODUCT_DSCR","SHOPSIGN","STACKING_WEIGHT","STACKING_COUNT","DELIVERY_DATE_CHR","M_CONTRACT_ITEM_NUM","SPEC1","SPEC3","SPEC5","PPFLAG","SCAN_FLAG"
"33","GM0","BGNA","TI15130700352","I3E0014286","F013032306","3F01307151101","85237704500","20.31","20.31","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","791153","791153","0","219490","","0","30715009&@梅盛1918","直发卷","HP295","40.6","2","20130715","TI15130700352","","","","0","0"
"34","GM0","BGNA","TI15130700352","I3E0014286","F013032306","3F01307151101","85237704300","20.29","20.29","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","789245","789245","0","219490","","0","30715009&@梅盛1918","直发卷","HP295","40.6","2","20130715","TI15130700352","","","","0","0"
"35","GM0","BGNA","TI15130700352","I3E0014286","F013032307","3F01307151101","85237704900","20.32","20.32","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","792112","792112","0","219489","","0","30715009&@梅盛1918","直发卷","HP295","141.89","7","20130715","TI15130700352","","","","0","0"
"36","GM0","BGNA","TI15130700352","I3E0014286","F013032307","3F01307151101","85237705300","20.25","20.25","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","789923","789923","0","219489","","0","30715009&@梅盛1918","直发卷","HP295","141.89","7","20130715","TI15130700352","","","","0","0"
"37","GM0","BGNA","TI15130700352","I3E0014286","F013032307","3F01307151101","85237705800","20.25","20.25","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","786222","786222","0","219486","","0","30715009&@梅盛1918","直发卷","HP295","141.89","7","20130715","TI15130700352","","","","0","0"
"38","GM0","BGNA","TI15130700352","I3E0014286","F013032307","3F01307151101","85237704700","20.3","20.3","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","793833","793833","0","219489","","0","30715009&@梅盛1918","直发卷","HP295","141.89","7","20130715","TI15130700352","","","","0","0"
"39","GM0","BGNA","TI15130700352","I3E0014286","F013032307","3F01307151101","85237705100","20.31","20.31","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","792014","792014","0","219489","","0","30715009&@梅盛1918","直发卷","HP295","141.89","7","20130715","TI15130700352","","","","0","0"
"40","GM0","BGNA","TI15130700352","I3E0014286","F013032307","3F01307151101","85237705700","20.23","20.23","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","789125","789125","0","219486","","0","30715009&@梅盛1918","直发卷","HP295","141.89","7","20130715","TI15130700352","","","","0","0"
"41","GM0","BGNA","TI15130700352","I3E0014286","F013032307","3F01307151101","85237705500","20.23","20.23","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","790612","790612","0","219486","","0","30715009&@梅盛1918","直发卷","HP295","141.89","7","20130715","TI15130700352","","","","0","0"
"42","GM0","BGNA","TI15130700352","I3E0014286","F013032589","3F01307170801","85237704000","20.34","20.34","1","2013/7/18 11:38:44","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","790546","790546","0","219485","","0","30717009&@梅盛1288","直发卷","HP295","60.96","3","20130718","TI15130700352","","","","0","0"
