"   ","GUID","DEPTID","DEPTNAME","BUSINESSNO","PRICE","PRE_PRICE","ACCOUNT_UNIT","FEE_TYPE_ID","FEE_TYPE_NAME","CONTRACT_DETAIL_ID","CONTRACT_DETAIL_DESCRIBE","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","PRICE2","MEMO","FINPRODUCTNAME"
"35","086e3ca4a972409f80f4b5ee390a0889","0101","上海博益实业有限公司","CK1403310006","27.00","0.00","元/吨","001004","加工费","4289359deeb94810bda680b40b989181","","2014/3/31 14:22:07","100003","","","0","0","0.00","",""
"36","49d4326deafb491eb9ff5d30d38bfddd","0101","运输公司","CK1404010012","18.00","18.00","元/吨","001002","出库吊装费","2F398D663C9C4BA68F0357B29F8E486B","","2014/4/1 14:03:52","100003","","","0","0","18.00","","不锈钢卷"
"37","0ea86b67cbdb4d92953f78c2eab1f45b","0101","武汉宝钢华中","CK1404010018","10.00","10.00","元/吨","001002","出库吊装费","2BED314BBD0545939A61D3A2C0F7A254","","2014/4/1 16:14:55","100003","","","0","0","10.00","","热轧卷"
"38","833c2137b6b04cc0a4fc16952275b43f","0101","运输公司","CK1404020012","28.00","28.00","元/吨","001002","出库吊装费","A6B5005AD5704375819C887BC45333A0","","2014/4/2 12:10:30","100003","","","0","0","20.00","","普通线材"
"39","a10f9872bda84d6e9664cf57147d7b61","0101","通用货主","CK1404030028","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 17:17:09","100002","","","0","0","0.00","",""
"40","dc5f3928ee9c471f9eb361a65ce9de99","0101","运输公司","CK1404030028","20.00","0.00","元/吨","001004","加工费","9fd3e4393fd04bcb88c5f876fdecdd36","","2014/4/3 17:17:09","100002","","","0","0","0.00","",""
"41","828de4d732354373b847f1028f31de04","0101","运输公司","CK1404030029","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 17:19:33","1818","","","0","0","18.00","","螺纹钢"
"42","efa7303e06b3490583c99244015c16e2","0101","运输公司","CK1404040002","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 8:18:09","100006","","","0","0","18.00","","螺纹钢"
"43","70bbb4d6992449cf8fb158e9f9968283","0101","运输公司","CK1404040005","18.00","18.00","元/吨","001002","出库吊装费","C3B4E1B4ECC24DB0ACC129372A835A12","","2014/4/4 9:50:02","1818","","","0","0","18.00","","彩涂"
"44","7cb8f71da8ed4205a1055a62784068cb","0101","山西焦煤","CK1404040007","20.00","18.00","元/吨","001002","出库吊装费","7C0C256E31864C1992B491200B6494ED","一号库","2014/4/4 10:46:29","100003","","","0","0","18.00","","热轧卷"
