"   ","PROCARTICLEDTLID","DEPTID","PROCESSID","PACKNUM","BARCODE","GOODSLOCID","OWNERID","OWNERNAME","GOODSOWNERMANAGENO","GOODSOWNERPACKNO","MANAGENO","FEEBEGINDATE","CONTRACTID","GOODSSTATENO","GOODSSTATENAME","CHANGEOWNERTIMES","GOODSTYPE","GOODSTYPENAME","KINDNO","KINDNAME","SHOPSIGNID","SHOPSIGNNAME","PRODAREAID","PRODAREANAME","GOODSBATCHNO","PRODSTOVENO","GRADENUM","GRADENUMTHICK","GRADENUMWIDTH","GRADENUMLENGTH","GROSSWEIGHT","NETWEIGHT","POUNDWEIGHT","CHECKWEIGHT","SHEETNUM","PACKTYPE","PACKTYPENAME","UNIT","QUALITYMEMO","FIRSTINOWNERID","FIRSTINDATE","PRINTFLAG","QUALITY","QAMEMBER","QAFLAG","PROCESSQUALITYID","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","ORDERBY","R_RECORD_CHANGE_FLAG","INSTRUCTION_ID","SENDFLAG","ACCEPTANCE_TIMES","ACCEPTANCER","ACCEPTANCE_TIME","SKINWEIGHT","CYYWEIGHT","GOODSID","ARTICLEMEMO1","ARTICLEMEMO2","ARTICLEMEMO3","ARTICLEMEMO4","ARTICLEMEMO5","ARTICLEMEMO6","ARTICLEMEMO7","ARTICLEMEMO8","ARTICLEMEMO9","ARTICLEMEMO10","ARTICLEYS","CUSTOMERID","CBXJGTYPE","WALLWIDTH","WOODTYPE","WOODTYPENAME","CHANXIAN","DRAWNO","ZCFLAG","CLASSGROUP","LOCLV1","LOCLV2"
"21","3bb859d6e55f439688722bb72accc06c","0101","0114121257","D141127611D-04","1231208173510","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:34","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.810000","3.810000","3.810000","3.810000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","1","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"22","c4454fa659d64b088fedaac8bb863be7","0101","0114121257","D141127611D-05","1231208173513","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:34","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.810000","3.810000","3.810000","3.810000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","1","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"23","975e2e51301a456cab2dea17541e08a7","0101","0114121257","D141127611D-06","1231208173512","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:34","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","2.950000","2.950000","2.950000","2.950000","17.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","1","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"24","8afb517a353a4fb8af27e0d2642a33b3","0101","0114121257","D141127611D-07","1231208173214","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:34","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*420+2820","4.750000","1250.000000","3700.000000","0.150000","0.150000","0.150000","0.150000","2.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","1","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"25","504caca27e1d4b02bf4a22f4a168ed7d","0101","0114121257","D141127612D-02","1231208173500","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/20 7:40:42","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.813000","3.813000","3.813000","3.813000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:56","100006","","","0","2","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"26","68c6e9addf9146baa7a2aff0da4a7d25","0101","0114121257","D141127612D-03","1231208173503","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/20 7:40:42","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.813000","3.813000","3.813000","3.813000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:56","100006","","","0","2","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"27","5f6e6a2c75d84c25940859e8e2d629df","0101","0114121257","D141127612D-04","1231208173502","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/20 7:40:42","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.813000","3.813000","3.813000","3.813000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:56","100006","","","0","2","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"28","76db338bc6d34deab3a32f48cfcc0c8f","0101","0114121257","D141127612D-05","1231208173505","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/20 7:40:42","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.813000","3.813000","3.813000","3.813000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:56","100006","","","0","2","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"29","65f1d61411894d03866865809d01eb0a","0101","0114121257","D141127612D-06","1231208173504","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/20 7:40:42","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","2.946000","2.946000","2.946000","2.946000","17.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:56","100006","","","0","2","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"30","7fdd0ce0c3834bfa946a76d3cccff7d8","0101","0114121257","D141127612D-07","1231208173215","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/20 7:40:42","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*130+530","4.750000","1250.000000","3700.000000","0.029000","0.029000","0.029000","0.029000","2.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:56","100006","","","0","2","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
