"   ","SHOPSIGNID","SHOPSIGNNAME","SHORTCUT","REMARK","DEPTID","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","SHOPSIGNCD","ISCHECK"
"88","GZ002885","SS400-A","SS400-A","","0101","2010/3/17 9:08:00","100031","","","0","","",""
"89","GZ002890","SAE1002","SAE1002","","0101","2010/3/23 15:08:00","100003","","","0","","",""
"90","GZ002891","SPHC400C","SPHC400C","","0101","2010/3/23 15:13:00","100003","","","0","","",""
"91","GZ002892","H9295","H9295","","0101","2010/3/23 15:16:00","100003","","","0","","",""
"92","GZ002893","SPA-H","SPA-H","","0101","2010/3/23 15:16:00","100003","","","0","","",""
"93","GZ002894","T10A","T10A","","0101","2010/3/24 8:58:00","100006","","","0","","",""
"94","GZ002897","ASTM A588M GR","ASTM A588M GR","","0101","2010/3/25 9:37:00","100002","","","0","","",""
"95","GZ002902","1Cr17","1Cr17","","0101","2010/4/2 16:48:00","100001","","","0","","",""
"96","GZ002908","01Z80","01Z80","","0101","2010/4/8 12:57:00","100002","","","0","","",""
"97","GZ002910","P265GH+Z15","P265GH+Z15","","0101","2010/4/10 12:01:00","100031","","","0","","",""
"98","GZ002912","P265GH","P265GH","","0101","2010/4/10 12:06:00","100031","","","0","","",""
"99","GZ002917","16MnDR","16MnDR","","0101","2010/4/21 10:06:00","100031","","","0","","",""
