"   ","WPROVIDER_ID","PROVIDER_NAME","VOUCHER_NUM","FACTORY_PRODUCT_ID","PUTOUT_WEIGHT","PUTOUT_PRICE","OTHER_PRICE","PUTOUT_AMOUNT","STORE_PRICE","PROD_TYPE_DESC","SHOPSIGN","SPEC","PUTOUT_DATE","CLIENT_FEE_FLAG","FEE_SETTLE_TYPE","CONTRACT_SUBID","INOUTDOOR_FLAG","DEPTID","OWNER_NUM","SEG_NO","REPORT_MONTH"
"52","P01087","上海宝钢运输有限公司（一号库）","DC090801033","A9H0001335","24.600000","15.000000","0.000000","369.000000","0.000000","模具用钢板坯","BPD25","95*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700063002","","0101","SM","00101","200908"
"53","P01087","上海宝钢运输有限公司（一号库）","DC090801034","A9H0001336","23.640000","15.000000","0.000000","354.600000","0.000000","模具用钢板坯","BPD25","105*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700063003","","0101","SM","00101","200908"
"54","P01087","上海宝钢运输有限公司（一号库）","DC090801035","A9H0001337","18.000000","15.000000","0.000000","270.000000","0.000000","模具用钢板坯","BPD25","115*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700063004","","0101","SM","00101","200908"
"55","P01087","上海宝钢运输有限公司（一号库）","DC090801037","A9H0001329","10.750000","15.000000","0.000000","161.250000","0.000000","模具用钢板坯","BPD25","135*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700058001","","0101","SM","00101","200908"
"56","P01087","上海宝钢运输有限公司（一号库）","DC090801038","A9H0001329","11.170000","15.000000","0.000000","167.550000","0.000000","模具用钢板坯","BPD25","135*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700058001","","0101","SM","00101","200908"
"57","P01087","上海宝钢运输有限公司（一号库）","DC090801039","A9H0001330","12.389000","15.000000","0.000000","185.840000","0.000000","模具用钢板坯","BPD25","145*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700058002","","0101","SM","00101","200908"
"58","P01087","上海宝钢运输有限公司（一号库）","DC090801040","A9H0001330","11.231000","15.000000","0.000000","168.470000","0.000000","模具用钢板坯","BPD25","145*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700058002","","0101","SM","00101","200908"
"59","P01087","上海宝钢运输有限公司（一号库）","DC090801041","A9H0001331","11.307000","15.000000","0.000000","169.610000","0.000000","模具用钢板坯","BPD25","155*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700058003","","0101","SM","00101","200908"
"60","P01087","上海宝钢运输有限公司（一号库）","DC090801042","A9H0001331","12.413000","15.000000","0.000000","186.200000","0.000000","模具用钢板坯","BPD25","155*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700058003","","0101","SM","00101","200908"
"61","P01087","上海宝钢运输有限公司（一号库）","DC090801043","A9H0001332","23.680000","15.000000","0.000000","355.200000","0.000000","模具用钢板坯","BPD25","165*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700058004","","0101","SM","00101","200908"
