"   ","MANAGENO","DEPTID","BARCODE","PACKNUM","NEWGOODSLOCID","GOODSLOCID","COLLECTDATE","INDATE","OPERATETYPE","STATE","COLLECTIONMANNO","COLLECTIONMANNAME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","OPERATESTATE","R_RECORD_CHANGE_FLAG","BATCHNO","UPSTATE","PLY","PLYORDER","PPFLAG","GMPACKTYPE","GRADENUM","BUSINESSNO"
"32","0e7a3479f4d34321a1eabc5afd388476","0101","1232207117048","D141208171D","","IB2342","2014/12/31 19:39:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:40:11","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"33","61fcf1be11b0450a8fcdaf663638429d","0101","1232207117055","D141201191P","","IB2431","2014/12/31 19:41:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:30:24","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"34","a088b398c44c44b296af316c9539e50b","0101","1232207117062","D141201162P","","IB2432","2014/12/31 19:44:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:30:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"35","8c1dd143ee5b49b6ac2e1b1e13145e33","0101","1232207117079","D141200822P","","IB2232","2014/12/31 19:46:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"36","5222749f8b334fa2bdfce70cf5f86f54","0101","1232207117086","D141200832P","","IB2332","2014/12/31 19:48:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"37","3049cfac50be477882a2790e369eb6a4","0101","R4267701401","R4267701401","","DF2342","2015/1/2 5:57:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:21:50","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"38","cc9d53423ba741f1810b709ff5069ad6","0101","R4271703601","R4271703601","","IB2152","2015/1/2 5:58:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:22:21","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"39","899f551b021a4f10a98e8544860037ee","0101","R4268604801","64268604801","","IB1152","2015/1/2 6:00:00","2015/1/2 7:16:41","0","0","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","","","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"40","c038b46f62454e86a740a80ce42d01ea","0101","R4268604701","R4268604701","","IB1162","2015/1/2 6:01:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:21:04","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"41","9aefd03b865e42f391818dde7d25c9b6","0101","R4268605301","R4268605301","","IB1142","2015/1/2 6:03:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:19:48","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
