"   ","OWNER_NUM","CONTRACT_ITEM_NUM","INPUT_STACKING_NUM","PICK_NUM","RESOURCE_NUM","PRODUCT_DSCR","SHOPSIGN","STACKING_WEIGHT","WEIGHT_THEO","STACKING_COUNT","DELIVERY_DATE_CHR","DEPT_ID","EXTSYSID","EXTSYSSTACKID","OPTFLAG","INSERT_TIME","TIME_RECEIVE","ZY_INSERT_TIME","DEPTID","DOWNLOADFLAG","VEHICLE_CODE","RED_STACKING_DATE","PRODUCT_ADRESS","TRANS_COMMISSION_SUBID","GETFLAG","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_FLAG"
"27","GM0","TI15130700328","F013033416","3F01307230801","I3E0014283","直发卷","Q235D","14.34","0","1","20130724","00","GM0","00100","0","2013/7/24 3:37:19","2013/7/24 3:37:19","2013/7/24 3:37:19","0101","0","30723011&@梅盛2006","0","梅钢公司热轧厂","TC13072900023011","","000425","上海宝钢钢材贸易有限公司",""
"28","GM0","TI15130700328","F013033000","3F01307201801","I3E0014283","直发卷","Q235D","49.99","0","2","20130721","00","GM0","00100","0","2013/7/21 13:36:59","2013/7/21 13:36:59","2013/7/21 13:36:59","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023008","","000425","上海宝钢钢材贸易有限公司",""
"29","GM0","TI15130700328","F013033001","3F01307201801","I3E0014283","直发卷","Q235D","49.77","0","2","20130721","00","GM0","00100","0","2013/7/21 13:37:00","2013/7/21 13:37:00","2013/7/21 13:37:00","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023008","","000425","上海宝钢钢材贸易有限公司",""
"30","GM0","TI15130700328","F013033016","3F01307201801","I3E0014283","直发卷","Q235D","49.79","0","2","20130721","00","GM0","00100","0","2013/7/21 13:37:05","2013/7/21 13:37:05","2013/7/21 13:37:05","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023008","","000425","上海宝钢钢材贸易有限公司",""
"31","GM0","TI15130700323","F013033017","3F01307201801","I3E0014282","直发卷","Q235D","74.65","0","3","20130721","00","GM0","00100","0","2013/7/21 13:37:05","2013/7/21 13:37:05","2013/7/21 13:37:05","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023002","","000425","上海宝钢钢材贸易有限公司",""
"32","GM0","TI15130700328","F013033018","3F01307201801","I3E0014283","直发卷","Q235D","25.01","0","1","20130721","00","GM0","00100","0","2013/7/21 13:37:05","2013/7/21 13:37:05","2013/7/21 13:37:05","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023008","","000425","上海宝钢钢材贸易有限公司",""
"33","GM0","TI15130700323","F013033022","3F01307201801","I3E0014282","直发卷","Q235D","24.86","0","1","20130721","00","GM0","00100","0","2013/7/21 13:37:07","2013/7/21 13:37:07","2013/7/21 13:37:07","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023002","","000425","上海宝钢钢材贸易有限公司",""
"34","GM0","TI15130700348","F073018672","3F07307202701","I3E0014284","直发卷","Q235D","29.18","0","1","20130721","00","GM0","00100","0","2013/7/21 13:37:23","2013/7/21 13:37:23","2013/7/21 13:37:23","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023015","","000425","上海宝钢钢材贸易有限公司",""
"35","GM0","TI15130700348","F073018673","3F07307202701","I3E0014284","直发卷","Q235D","29.29","0","1","20130721","00","GM0","00100","0","2013/7/21 13:37:23","2013/7/21 13:37:23","2013/7/21 13:37:23","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023015","","000425","上海宝钢钢材贸易有限公司",""
"36","GM0","TI15130700321","F073018674","3F07307202701","I3E0014281","直发卷","Q235D","29.18","0","1","20130721","00","GM0","00100","0","2013/7/21 13:37:24","2013/7/21 13:37:24","2013/7/21 13:37:24","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900022001","","000425","上海宝钢钢材贸易有限公司",""
