"   ","MANAGEID","DEPTID","DEPTNAME","PARENTDEPTID","PARENTDEPTNAME","SYSVERSION","USERPCID","LOGINIP","USERID","USERNAME","LASTLOGINTIME","LASTLOGOUTTIME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","LOGINIPSERVICE","LOGINMAC"
"61","aab18a6f8f5042e2bace593c675248ce","0101","宝钢运输公司一号库","","","1.1.0.0422","68674ca688fc455","192.168.16.138","01010001","管理员","2010/10/27 12:41:47","2010/10/27 14:13:36","","","","","","",""
"62","7421111d0a924a2ca0f20d82ee21d03e","0101","宝钢运输公司一号库","","","1.1.0.0422","68674ca688fc455","192.168.16.138","01010001","管理员","2010/10/27 12:38:41","2010/10/27 12:40:56","","","","","","",""
"63","c4d73a3259da4b648605b7a51f769147","0101","宝钢运输公司一号库","","","1.1.0.0423","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/10/28 10:44:28","2010/10/28 10:45:50","","","","","","",""
"64","816f6eb25e79421099d95753bd63d7cd","0101","宝钢运输公司一号库","","","1.1.0.0423","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/11/8 13:30:47","2010/11/8 14:44:09","","","","","","",""
"65","5d3b5a8a3b374b679e931d65dadef571","0101","宝钢运输公司一号库","","","1.1.0.0422","1847CBC19EB3450","192.168.6.100","01010001","管理员","2010/10/24 8:55:14","2010/10/24 9:02:30","","","","","","",""
"66","b6bb04077d3e4ecda79cfb5e2950a0af","0101","宝钢运输公司一号库","","","1.1.0.0423","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/11/8 11:54:06","2010/11/8 12:59:45","","","","","","",""
"67","05d9f9b5242c45d5b39c5109a85cba3c","0101","宝钢运输公司一号库","","","1.1.0.0423","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/11/3 14:28:27","2010/11/3 14:31:57","","","","","","",""
"68","a85025e216974060872e83a6b4831645","0101","宝钢运输公司一号库","","","1.1.0.0427","mjordan-PC","fe80::c4ec:e45c:671f:4fe9%13","01010001","管理员","2010/11/8 13:57:43","2010/11/8 14:13:42","","","","","","",""
"69","755bbbb57c34481d919882b8e9549b78","0101","宝钢运输公司一号库","","","1.1.0.0427","68674ca688fc455","169.254.191.182","01010001","管理员","2010/11/13 12:26:58","2010/11/13 12:54:57","","","","","","",""
"70","7b552253c977488db19b7446bd8b3df9","0101","宝钢运输公司一号库","","","1.1.0.0427","68674ca688fc455","10.31.88.44","01010001","管理员","2010/11/9 10:08:52","2010/11/9 10:11:10","","","","","","",""
