"   ","MANAGENO","SETTLECD","DEPTID","INVOICEKINDID","INVOICEKINDNAME","DEPTNO","DEPTNAME","SETTLEDATE","INVOICETYPEID","INVOICETYPENAME","INVOICENO","CHEQUENO","CHEQUESUM","CHEQUEUNIT","CREDITNO","CREDITAMOUNT","CASH","EARNEST","FACTSUM","BORROW","REMIT","EDITOR","EDITORNAME","CREATDATE","FLAG","MEMO","RESOURCENO","INVOICEFLAG","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","BIZ_ID","BIZ_TYPE_ID","BIZ_TYPE_NAME","CUSTOM_ID","CUSTOM_NAME","SETTLE_DATA","SETTLE_WEIGHT","SHOULD_SUM","SUB_BIZ_TYPE_ID","SUB_BIZ_TYPE_NAME","WEIGHTSUM","GROSSWEIGHTSUM","ISPAY","BILLEMPNAME","FOREIGNLISTNO","JGBUSINESSNO","SETTLEDEPTNO","SETTLEDEPTNAME","FEEKK","KPUSERNAME","KPAMOUNT","KPDATE","SETTLELOCK","JYZXFLAG","JYZXSENDFLAG","JYZXFPSENDFLAG","JYZXISPAYFEE","SENDMESSAGE","INVOICEBILLNO","DIRECTION","SETTLETAXSUM","SETTLENOTAXSUM"
"61","98df2a35db624a7093c3540a08c67712","1404010004","0101","014002","现结","KH04928","上海鸿厚贸易有限公司","2014/4/1 10:41:17","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH04928","","0.000000","0.0000","0.0000","405.0000","405.0000","0.0000","100003","钱晓平","2014/4/1 10:06:32","1","","","0","2014/4/1 10:06:32","100003","2014/4/1 14:31:49","100003","0","0","CK1404010004","002","出库","","","","22.50","405.0000","","","22.5000","22.5000","0","钱晓平","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"62","bf2b5b94fce744c2b5058e8818272797","1404010006","0101","014002","现结","KH05903","上海维良物资有限公司","2014/4/1 12:27:57","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH05903","","0.000000","225.0000","0.0000","225.0000","0.0000","0.0000","100002","顾陆萍","2014/4/1 12:27:54","1","","","0","2014/4/1 12:27:52","100002","2014/4/1 14:31:49","100002","0","0","CK1404010005","002","出库","","","","8.07","225.9600","","","8.0700","8.0700","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"63","bea9d20911fd4ed5a1d2faec1d49f595","1404010009","0101","014002","现结","KH02876","上海裕颜实业有限公司","2014/4/16 8:22:50","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH02876","","0.000000","0.0000","0.0000","357.7900","357.7900","0.0000","100003","钱晓平","2014/4/1 12:32:23","1","","","0","2014/4/1 12:32:24","100003","2014/4/16 8:24:20","100003","0","0","CK1404010006","002","出库","","","","17.8890","357.7800","","","17.8890","17.8890","0","钱晓平","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"64","71aa66fe807642f580b79ab68a80643c","1404010007","0101","014002","现结","KH02876","上海裕颜实业有限公司","2014/4/1 12:31:42","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH02876","","0.000000","0.0000","0.0000","322.0000","322.0000","0.0000","100003","钱晓平","2014/4/1 12:31:40","1","","","0","2014/4/1 12:31:40","100003","2014/4/1 14:31:49","100003","0","0","CK1404010006","002","出库","","","","17.8890","322.0000","","","17.8890","17.8890","0","钱晓平","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"65","6899d1fd5ed74d94a3491449ac28a79f","1404010008","0101","014002","现结","KH06161","上海添亮实业有限公司","2014/4/1 12:32:03","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH06161","","0.000000","655.0000","0.0000","655.0000","0.0000","0.0000","100002","顾陆萍","2014/4/1 12:31:58","1","","","0","2014/4/1 12:31:56","100002","2014/4/1 14:31:49","100002","0","0","CK1404010007","002","出库","","","","23.3800","654.6400","","","23.3800","23.3800","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"66","b18447aed4f447a39b42030f3e202ac6","1404010011","0101","014002","现结","KH00448","上海飚兴金属材料有限公司","2014/4/1 13:28:24","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH00448","","0.000000","559.5000","0.0000","559.5000","0.0000","0.0000","100002","顾陆萍","2014/4/1 13:28:18","1","","","0","2014/4/1 13:28:16","100002","2014/4/1 14:31:57","100002","0","0","CK1404010008","002","出库","","","","18.6500","559.5000","","","18.6500","18.6500","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"67","517f27c9c8b74de4beea34a81edf0e32","1404010010","0101","014002","现结","KH00448","上海飚兴金属材料有限公司","2014/4/1 13:27:08","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH00448","","0.000000","0.0000","0.0000","335.7000","0.0000","335.7000","100002","顾陆萍","2014/4/1 13:27:05","1","","","0","2014/4/1 13:27:03","100002","2014/4/1 14:31:49","100002","0","0","CK1404010008","002","出库","","","","18.6500","335.7000","","","18.6500","18.6500","0","顾陆萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"68","1f63dc0e72b3413d8f7d7babcd85f432","1404010012","0101","014002","现结","KH00132","武汉宝钢华中贸易有限公司","2014/4/1 13:30:07","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH00132","","0.000000","235.0000","0.0000","235.0000","0.0000","0.0000","100003","钱晓平","2014/4/1 13:30:05","1","","","0","2014/4/1 13:30:05","100003","2014/4/1 14:31:57","100003","0","0","CK1404010009","002","出库","","","","23.20","232.0000","","","23.2000","23.2000","0","钱晓平","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"69","a95d01264e01479d83e52ffd8cfa942f","1404010013","0101","014002","现结","KH03031","上海晋博实业有限公司","2014/4/1 13:51:55","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH03031","","1.000000","0.0000","0.0000","406.2600","406.2600","0.0000","1818","肖萍","2014/4/1 13:51:49","1","","","0","2014/4/1 13:51:49","1818","2014/4/1 14:31:49","1818","0","0","CK1404010010","002","出库","","","","22.5700","406.2600","","","22.5700","22.5700","0","肖萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"70","69b83703e7394596ba86ae17eec0cf7d","1404010014","0101","014002","现结","KH03031","上海晋博实业有限公司","2014/4/1 13:53:04","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH03031","","0.000000","0.0000","0.0000","451.4000","451.4000","0.0000","1818","肖萍","2014/4/1 13:52:40","1","","","0","2014/4/1 13:52:40","1818","2014/4/1 14:31:57","1818","0","0","CK1404010010","002","出库","","","","22.5700","451.4000","","","22.5700","22.5700","0","肖萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
